CgST,CgST,lpg0028,lpg0078,lpg0116,lpg0212,lpg0287,lpg0330,lpg0356,lpg0432,lpg0461,lpg0513,lpg0577,lpg0656,lpg0712,lpg0785,lpg0840,lpg0888,lpg0956,lpg1178,lpg1206,lpg1283,lpg1340,lpg1398,lpg1452,lpg1511,lpg1566,lpg1636,lpg1682,lpg1737,lpg1782,lpg1830,lpg1882,lpg1994,lpg2039,lpg2175,lpg2231,lpg2280,lpg2339,lpg2404,lpg2461,lpg2516,lpg2577,lpg2622,lpg2698,lpg2743,lpg2795,lpg2827,lpg2869,lpg2933,lpg2999
0,0,13.0,7.0,20.0,15.0,4.0,7.0,11.0,31.0,1.0,24.0,10.0,7.0,6.0,39.0,3.0,5.0,4.0,19.0,2.0,33.0,10.0,2.0,9.0,11.0,3.0,2.0,5.0,18.0,18.0,7.0,5.0,4.0,4.0,5.0,7.0,27.0,3.0,27.0,3.0,40.0,41.0,8.0,50.0,10.0,2.0,40.0,5.0,9.0,6.0
1,1,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,24.0,6.0,39.0,3.0,5.0,4.0,5.0,30.0,32.0,9.0,4.0,9.0,11.0,3.0,2.0,4.0,18.0,6.0,7.0,5.0,4.0,4.0,5.0,7.0,27.0,3.0,27.0,3.0,40.0,41.0,8.0,50.0,10.0,3.0,6.0,5.0,9.0,6.0
2,2,13.0,7.0,20.0,15.0,4.0,7.0,11.0,3.0,1.0,21.0,43.0,7.0,6.0,36.0,3.0,5.0,4.0,19.0,2.0,32.0,9.0,2.0,9.0,11.0,3.0,2.0,5.0,18.0,18.0,7.0,5.0,4.0,4.0,5.0,7.0,27.0,3.0,27.0,3.0,40.0,41.0,8.0,50.0,10.0,2.0,40.0,5.0,9.0,6.0
3,3,13.0,7.0,20.0,15.0,4.0,7.0,11.0,3.0,3.0,21.0,43.0,7.0,6.0,36.0,3.0,5.0,4.0,19.0,2.0,32.0,9.0,2.0,9.0,11.0,3.0,2.0,5.0,18.0,18.0,7.0,5.0,4.0,4.0,5.0,7.0,27.0,3.0,27.0,3.0,40.0,41.0,8.0,50.0,10.0,2.0,40.0,5.0,9.0,6.0
4,4,21.0,39.0,33.0,40.0,9.0,10.0,5.0,12.0,6.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,6.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
5,5,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,52.0,6.0,32.0,5.0,7.0,6.0,24.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,19.0,3.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
6,6,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
7,7,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,18.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
8,8,11.0,5.0,14.0,50.0,3.0,9.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,45.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,8.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
9,9,31.0,5.0,14.0,21.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,5.0
10,10,11.0,5.0,14.0,51.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,41.0,24.0,6.0,5.0,2.0,6.0,7.0,33.0,8.0,25.0,49.0,38.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,26.0,20.0,41.0,25.0,27.0,59.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
11,11,31.0,5.0,14.0,21.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,15.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,5.0
12,12,11.0,5.0,14.0,50.0,3.0,9.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
13,13,31.0,5.0,14.0,21.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,48.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,5.0
14,14,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,41.0,33.0,35.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
15,15,31.0,5.0,14.0,21.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,48.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,25.0,5.0,6.0,8.0,8.0,8.0,5.0
16,16,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
17,17,11.0,5.0,14.0,50.0,9.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
18,18,11.0,5.0,14.0,50.0,3.0,9.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,8.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
19,19,31.0,5.0,14.0,21.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,51.0
20,20,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,12.0,33.0,5.0,7.0,9.0,24.0,9.0,34.0,2.0,31.0,7.0,35.0,47.0,7.0,48.0,2.0,19.0,39.0,11.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
21,21,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,43.0,21.0,3.0,6.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
22,22,11.0,5.0,21.0,50.0,9.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,44.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
23,23,40.0,18.0,4.0,64.0,16.0,1.0,,40.0,15.0,8.0,1.0,1.0,23.0,3.0,56.0,9.0,7.0,35.0,1.0,16.0,1.0,13.0,1.0,3.0,14.0,41.0,1.0,50.0,3.0,30.0,3.0,46.0,16.0,46.0,22.0,42.0,22.0,3.0,19.0,32.0,17.0,1.0,61.0,29.0,11.0,1.0,17.0,1.0,29.0
24,24,23.0,50.0,46.0,25.0,20.0,20.0,10.0,27.0,35.0,43.0,23.0,36.0,12.0,40.0,15.0,43.0,38.0,7.0,4.0,31.0,9.0,46.0,19.0,14.0,30.0,20.0,18.0,11.0,13.0,22.0,15.0,17.0,23.0,11.0,34.0,11.0,38.0,24.0,29.0,8.0,2.0,24.0,27.0,22.0,23.0,27.0,16.0,24.0,19.0
25,25,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,13.0,4.0,2.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,20.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
26,26,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,14.0,33.0,46.0,22.0,11.0,4.0,46.0,37.0,50.0,23.0,30.0,21.0,17.0,15.0,15.0,12.0,43.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,23.0,21.0,7.0,47.0,14.0,36.0,17.0
27,27,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,8.0,7.0,30.0,32.0,3.0,6.0,14.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,4.0,18.0,5.0,7.0,7.0,7.0,9.0,7.0,2.0,22.0,3.0,26.0,25.0,39.0,35.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
28,28,35.0,52.0,1.0,2.0,11.0,29.0,,7.0,14.0,3.0,,12.0,26.0,1.0,29.0,16.0,26.0,40.0,13.0,12.0,11.0,56.0,29.0,1.0,18.0,36.0,27.0,30.0,30.0,10.0,9.0,10.0,12.0,23.0,15.0,1.0,18.0,1.0,11.0,1.0,19.0,29.0,29.0,24.0,40.0,23.0,30.0,17.0,25.0
29,29,13.0,7.0,17.0,6.0,4.0,7.0,11.0,31.0,3.0,24.0,11.0,7.0,8.0,36.0,3.0,6.0,3.0,5.0,2.0,33.0,10.0,3.0,8.0,9.0,5.0,13.0,4.0,45.0,6.0,7.0,7.0,8.0,9.0,30.0,10.0,27.0,3.0,16.0,4.0,37.0,40.0,8.0,7.0,2.0,38.0,43.0,29.0,7.0,6.0
